company_id,year,source_opm,computed_opm,difference,valid
CHOLAFIN,2016-03,899.0,30.042714760322735,868.9572852396773,False
CHOLAFIN,2017-03,1143.0,28.163613123135917,1114.836386876864,False
CHOLAFIN,2018-03,1451.0,26.101816873538407,1424.8981831264616,False
CHOLAFIN,2019-03,1888.0,22.960045019696118,1865.039954980304,False
CHOLAFIN,2020-03,1699.0,27.789256198347108,1671.2107438016528,False
CHOLAFIN,2021-03,2094.0,30.397579046227698,2063.6024209537723,False
CHOLAFIN,2022-03,2924.0,28.83326763894363,2895.1667323610563,False
CHOLAFIN,2023-03,3515.0,28.104625892579943,3486.89537410742,False
CHOLAFIN,2024-03,4548.0,28.10102802275218,4519.898971977248,False
CHOLAFIN,TTM,5175.0,28.673006843836102,5146.326993156164,False
CIPLA,2013-03,2214.0,73.25763981157145,2140.7423601884284,False
CIPLA,2014-03,2147.0,78.89511451882434,2068.1048854811756,False
CIPLA,2015-03,2163.0,80.94314676068753,2082.0568532393127,False
CIPLA,2016-03,2480.0,82.01595358955765,2397.9840464104423,False
CIPLA,2017-03,2496.0,82.65944143393081,2413.3405585660694,False
CIPLA,2018-03,2826.0,81.3473211929269,2744.6526788070732,False
CIPLA,2019-03,3097.0,81.07199608849774,3015.9280039115024,False
CIPLA,2020-03,3206.0,81.28648143824422,3124.713518561756,False
CIPLA,2021-03,4252.0,77.80271398747391,4174.197286012526,False
CIPLA,2022-03,4553.0,79.08376602490466,4473.916233975096,False
CIPLA,2023-03,5027.0,77.90621017008746,4949.093789829913,False
CIPLA,2024-03,6291.0,75.59168153953597,6215.408318460464,False
CIPLA,TTM,6906.0,74.40421037026054,6831.59578962974,False
COALINDIA,2013-03,18087.0,73.51946473800565,18013.480535261995,False
COALINDIA,2014-03,17766.0,74.83854520734195,17691.16145479266,False
COALINDIA,2015-03,17343.0,76.60145709660011,17266.3985429034,False
COALINDIA,2016-03,18714.0,75.96486045645446,18638.035139543546,False
COALINDIA,2017-03,12448.0,84.0745100046057,12363.925489995394,False
COALINDIA,2018-03,9288.0,89.10421847871991,9198.89578152128,False
COALINDIA,2019-03,25007.0,74.88904062820076,24932.1109593718,False
COALINDIA,2020-03,21581.0,77.53955037468776,21503.460449625312,False
COALINDIA,2021-03,18628.0,79.3081998533757,18548.691800146626,False
COALINDIA,2022-03,24721.0,77.46889668687052,24643.53110331313,False
COALINDIA,2023-03,44232.0,68.00624945751237,44163.99375054249,False
COALINDIA,2024-03,47971.0,66.29380849329698,47904.7061915067,False
COALINDIA,TTM,46610.0,66.78424833247819,46543.21575166752,False
HDFCBANK,2013-03,3534.0,35.22210758205293,3498.777892417947,False
HDFCBANK,2014-03,5602.0,31.742450945834804,5570.257549054165,False
HDFCBANK,2015-03,7214.0,31.903051355938892,7182.096948644061,False
HDFCBANK,2016-03,9037.0,31.751686140400874,9005.2483138596,False
HDFCBANK,2017-03,11374.0,32.558583887213224,11341.441416112786,False
HDFCBANK,2018-03,13374.0,34.62620767282619,13339.373792327175,False
HDFCBANK,2019-03,16592.0,33.145367579235646,16558.854632420764,False
HDFCBANK,2020-03,14593.0,37.203839952859916,14555.79616004714,False
HDFCBANK,2021-03,16848.0,40.80605513722074,16807.193944862778,False
HDFCBANK,2022-03,20795.0,41.60560852165725,20753.39439147834,False
HDFCBANK,2023-03,29932.0,36.91977933167012,29895.08022066833,False
HDFCBANK,2024-03,-44685.0,61.41252040373843,44746.41252040374,False
HDFCBANK,TTM,-57587.0,62.61253046908717,57649.61253046909,False
HDFCLIFE,2013-03,525.0,96.26600284495022,428.7339971550498,False
HDFCLIFE,2014-03,605.0,96.47559128509845,508.52440871490154,False
HDFCLIFE,2015-03,874.0,96.78853573397024,777.2114642660298,False
HDFCLIFE,2016-03,953.0,94.74119398048619,858.2588060195138,False
HDFCLIFE,2017-03,972.0,96.82513786014944,875.1748621398506,False
HDFCLIFE,2018-03,1074.0,96.67079975201489,977.3292002479851,False
HDFCLIFE,2019-03,1215.0,96.87298931926392,1118.127010680736,False
HDFCLIFE,2020-03,1141.0,96.11640571817563,1044.8835942818243,False
HDFCLIFE,2021-03,1235.0,98.27480147634493,1136.725198523655,False
HDFCLIFE,2022-03,778.0,98.84098560915294,679.159014390847,False
HDFCLIFE,2023-03,80.0,99.88605124845101,19.88605124845101,False
HDFCLIFE,2024-03,531.0,99.47675449833469,431.5232455016653,False
HDFCLIFE,TTM,725.0,99.28154646131861,625.7184535386814,False
HEROMOTOCO,2014-03,3553.0,85.94263105835806,3467.057368941642,False
HEROMOTOCO,2015-03,3520.0,87.21766286585809,3432.782337134142,False
HEROMOTOCO,2016-03,4424.0,84.45373721755631,4339.546262782444,False
HEROMOTOCO,2017-03,4585.0,83.9741349178609,4501.025865082139,False
HEROMOTOCO,2018-03,5334.0,83.56645511122065,5250.43354488878,False
HEROMOTOCO,2019-03,5025.0,85.2079715051073,4939.792028494892,False
HEROMOTOCO,2020-03,4070.0,86.0873726669857,3983.9126273330144,False
HEROMOTOCO,2021-03,4058.0,86.89557156238897,3971.104428437611,False
HEROMOTOCO,2022-03,3256.0,88.98176034651958,3167.0182396534806,False
HEROMOTOCO,2023-03,4099.0,88.00281046899701,4010.997189531003,False
HEROMOTOCO,2024-03,5235.0,86.14676228532112,5148.8532377146785,False
HEROMOTOCO,TTM,5561.0,86.13147787919597,5474.868522120804,False
HINDALCO,2013-03,7699.0,90.39941141994937,7608.6005885800505,False
HINDALCO,2014-03,8024.0,90.85010547921775,7933.149894520782,False
HINDALCO,2015-03,8844.0,91.51906867022755,8752.480931329772,False
HINDALCO,2016-03,7778.0,92.12426209256877,7685.875737907431,False
HINDALCO,2017-03,12317.0,87.70562165615267,12229.294378343848,False
HINDALCO,2018-03,13695.0,88.1102245991162,13606.889775400883,False
HINDALCO,2019-03,15511.0,88.11800033705627,15422.881999662945,False
HINDALCO,2020-03,14306.0,87.89104821235102,14218.10895178765,False
HINDALCO,2021-03,17559.0,86.69853342221684,17472.301466577785,False
HINDALCO,2022-03,28347.0,85.46747394378112,28261.53252605622,False
HINDALCO,2023-03,22666.0,89.84507307282192,22576.154926927178,False
HINDALCO,2024-03,23872.0,88.94620349876368,23783.053796501237,False
HINDALCO,TTM,27931.0,87.53180547991678,27843.468194520083,False
HINDUNILVR,2013-03,4220.0,84.37268552806991,4135.62731447193,False
HINDUNILVR,2014-03,4759.0,83.72100978312923,4675.278990216871,False
HINDUNILVR,2015-03,5412.0,83.07268860252721,5328.927311397473,False
HINDUNILVR,2016-03,5910.0,81.63797924563475,5828.362020754365,False
HINDUNILVR,2017-03,6328.0,80.91791809902901,6247.082081900971,False
HINDUNILVR,2018-03,7499.0,78.90279926853285,7420.097200731467,False
HINDUNILVR,2019-03,8880.0,77.41032816077335,8802.589671839227,False
HINDUNILVR,2020-03,9861.0,75.21303069150139,9785.7869693085,False
HINDUNILVR,2021-03,11626.0,75.27855745513311,11550.721442544867,False
HINDUNILVR,2022-03,12857.0,75.48526103039318,12781.514738969607,False
HINDUNILVR,2023-03,14147.0,76.64740838560581,14070.352591614394,False
HINDUNILVR,2024-03,14659.0,76.31672482874498,14582.683275171255,False
HINDUNILVR,TTM,14759.0,76.44627439715293,14682.553725602847,False
ICICIBANK,2013-03,-15085.0,70.58928372507519,15155.589283725076,False
ICICIBANK,2014-03,-13084.0,66.39584470179268,13150.395844701792,False
